X,Y,dow
374998,6736830,5.0
376076,6737073,5.0
380178,6739288,5.0
388411,6741224,5.0
388860,6741275,5.0
396278,6746019,5.0
401207,6747644,5.0
405061,6750009,5.0
407377,6751969,5.0
424051,6695664,5.0
421759,6701177,5.0
406749,6722209,5.0
360648,6767769,5.0
359250,6772260,5.0
360721,6784067,5.0
353036,6824534,5.0
360228,6841871,5.0
359069,6844584,5.0
370964,6869793,5.0
385377,6920259,5.0
398035,6984083,5.0
404418,7017180,5.0
396767,7055136,5.0
417267,7070056,5.0
429341,7085137,5.0
518296,6835337,5.0
545021,6818897,5.0
548328,6820613,5.0
549267,6821421,5.0
576771,6813755,5.0
597493,6786511,5.0
330016,7045541,5.0
347605,7055664,5.0
348145,7056222,5.0
356240,7064182,5.0
379135,7092248,5.0
377431,7098550,5.0
376422,7102218,5.0
323567,6824201,5.0
323364,6824267,5.0
323249,6824315,5.0
323218,6824315,5.0
322573,6824629,5.0
321123,6826506,5.0
321032,6826581,5.0
318554,6829214,5.0
318157,6829305,5.0
317015,6833588,5.0
320161,6852025,5.0
326023,6870212,5.0
325758,6870970,5.0
343325,6882408,5.0
332823,6904245,5.0
325899,6926226,5.0
326143,6945315,5.0
326142,6945319,5.0
326117,6945812,5.0
324715,6949368,5.0
323451,6953150,5.0
202770,6930161,5.0
239126,6937990,5.0
269963,6959640,5.0
281524,6968937,5.0
288016,6969829,5.0
346639,6984308,5.0
345368,6986515,5.0
341166,6998740,5.0
337868,7010990,5.0
332420,7018049,5.0
326032,7026572,5.0
323184,7030592,5.0
297622,7062434,5.0
295561,7062308,5.0
295560,7062308,5.0
293269,7063426,5.0
289371,7068014,5.0
435583,6933697,5.0
619226,6868044,5.0
618817,6870405,5.0
512113,6868807,5.0
662583,6972158,5.0
663061,6978469,5.0
646660,7027291,5.0
654765,6944904,5.0
667928,6941346,5.0
533272,6994235,5.0
534363,6994736,5.0
538763,6998896,5.0
550763,7000755,5.0
559694,7007893,5.0
571877,7023201,5.0
572904,7024395,5.0
578351,7027377,5.0
621129,7108694,5.0
565155,7112892,5.0
571865,7110442,5.0
607763,7107815,5.0
438856,6990728,5.0
443921,7003408,5.0
526033,6995958,5.0
538811,7150633,5.0
538910,7151519,5.0
536545,7177670,5.0
