Cluster,X,Y,Day
0,495696.0,6708393.0,5.0
0,506522.0,6714969.0,5.0
0,510604.0,6718196.0,5.0
0,517576.0,6714649.0,5.0
0,520114.00000000006,6714848.0,5.0
0,524100.0,6714325.0,5.0
0,524161.0,6714334.0,5.0
0,529762.0,6714777.0,5.0
0,530572.0,6714909.0,5.0
0,542079.0,6717777.0,5.0
2,237679.0,6711853.0,5.0
2,234343.0,6716917.0,5.0
2,234044.0,6717783.0,5.0
2,233884.0,6718248.0,5.0
2,233882.0,6718253.0,5.0
2,231929.0,6724285.0,5.0
2,230758.0,6727257.0,5.0
2,229684.0,6730909.0,5.0
2,228767.0,6735106.0,5.0
2,227898.0,6736341.0,5.0
2,226572.0,6738109.0,5.0
2,225738.0,6739896.0,5.0
2,222715.0,6745909.0,5.0
2,219839.0,6752198.0,5.0
2,217670.0,6755827.0,5.0
2,214598.0,6758464.0,5.0
2,214494.0,6758607.0,5.0
2,208277.0,6766629.0,5.0
2,208158.0,6766865.0,5.0
2,207545.0,6771209.0,5.0
2,207434.0,6772928.0,5.0
2,207367.0,6773219.0,5.0
2,206470.0,6775742.0,5.0
2,206272.0,6776752.0,5.0
2,205301.0,6779106.0,5.0
2,204465.0,6783076.0,5.0
2,213094.0,6794536.0,5.0
2,216632.0,6798592.0,5.0
2,216435.0,6802059.0,5.0
2,214384.0,6811370.0,5.0
2,215782.0,6817476.0,5.0
2,219423.0,6822174.0,5.0
2,220315.0,6828920.0,5.0
2,224425.0,6835443.0,5.0
2,223861.0,6839568.0,5.0
2,223221.0,6844681.0,5.0
2,221466.0,6851765.0,5.0
2,221417.0,6854947.0,5.0
2,219906.0,6860012.0,5.0
2,217517.0,6874018.0,5.0
2,215127.0,6908554.0,5.0
2,213477.0,6916243.0,5.0
2,212168.0,6921979.0,5.0
2,212046.0,6933554.0,5.0
2,230059.0,6978524.0,5.0
2,231345.0,6982642.0,5.0
2,231426.0,6982872.0,5.0
2,230801.0,7006725.0,5.0
2,230863.0,7009171.0,5.0
2,231030.0,7009005.0,5.0
