X,Y,prediction
387203,6686102,1
388109,6687154,1
385914,6697953,1
394628,6683542,1
395759,6688184,1
396870,6698231,1
412521,6731545,1
413744,6733650,1
413926,6733959,1
416626,6740932,1
423649,6756492,1
423166,6755679,1
432420,6767515,1
391428,6697745,1
395894,6696673,1
396418,6696005,1
400802,6694757,1
406360,6693493,1
416998,6687619,1
416040,6707250,1
389832,6691148,1
427155,6759226,1
427091,6758946,1
425920,6756408,1
430021,6746833,1
430937,6743354,1
430934,6743093,1
440876,6713665,1
394012,6676592,1
394116,6676682,1
395069,6677324,1
395435,6677686,1
395511,6677767,1
395543,6677799,1
395567,6677825,1
395582,6677841,1
410647,6686949,1
416587,6690877,1
425518,6695763,1
425733,6695853,1
425923,6695941,1
426008,6695978,1
429682,6699932,1
454788,6702570,1
462599,6704726,1
470209,6706250,1
494475,6707787,1
498578,6711768,1
435485,6741156,1
245779,6707137,1
245839,6706872,1
245883,6706053,1
246329,6704019,1
246288,6703806,1
245755,6703234,1
244245,6698163,1
238368,6693300,1
224427,6682928,1
216814,6684173,1
215243,6683092,1
210057,6681551,1
257179,6686401,1
261153,6698893,1
261346,6700655,1
261549,6704702,1
268415,6678488,1
262136,6676358,1
232152,6713358,1
292547,6694292,1
299264,6688036,1
312469,6681807,1
312748,6681164,1
312934,6680768,1
320454,6676318,1
323750,6672675,1
226708,6713343,1
223683,6713224,1
221000,6713552,1
324416,6789320,1
325100,6793357,2
325611,6798082,2
326623,6802137,2
231556,6719141,1
228744,6721488,1
227841,6722609,1
227551,6722960,1
225447,6725828,1
225308,6726193,1
222825,6729363,1
222247,6730234,1
218853,6734723,1
210912,6731429,1
195972,6724013,1
194608,6724653,1
205316,6739377,2
207101,6770456,2
201858,6771076,2
197567,6754982,2
198654,6749843,2
198659,6745833,2
198840,6745101,2
199420,6742572,2
198464,6739297,2
201561,6733383,2
201630,6733199,2
251311,6741398,1
252414,6751647,1
252511,6752399,1
252475,6752591,1
279922,6754310,1
277798,6753790,1
271597,6756481,1
264880,6756019,1
255751,6759945,2
252242,6758748,2
237686,6769116,2
227379,6776928,2
223121,6783596,2
257151,6778038,2
285088,6752961,1
274588,6764024,1
258569,6769630,2
251984,6773874,2
243254,6714918,1
281277,6709161,1
278115,6713909,1
268114,6725845,1
263483,6729429,1
262787,6730247,1
280592,6785463,2
299018,6779695,2
289320,6820448,2
290443,6821757,2
290635,6821985,2
291460,6823673,2
294207,6836709,2
283087,6799780,2
284726,6795122,2
287031,6790585,2
288563,6788231,2
288111,6785868,2
265749,6865901,2
266394,6865687,2
275240,6861742,2
206556,6844694,2
234158,6874489,2
218986,6846261,2
263041,6867091,2
291342,6883041,2
322687,6715692,1
312023,6735123,1
316146,6752119,1
315305,6756620,1
320340,6768354,1
319325,6771238,1
316743,6775479,1
385235,6728518,1
386295,6730311,1
376948,6752844,1
372363,6756688,1
372542,6756217,1
387588,6768373,1
410231,6743929,1
421609,6761374,1
425898,6756423,1
311780,6801819,2
312232,6801119,2
319744,6800266,2
334206,6784843,1
370815,6782605,1
320925,6817811,2
327741,6814044,2
328949,6814421,2
332735,6815738,2
338906,6812742,2
339357,6813960,2
432196,6759043,1
441240,6757113,1
425261,6781487,1
431764,6778872,1
440748,6776333,1
431863,6814051,1
359618,6803230,1
361149,6803637,1
381724,6819741,2
386831,6822477,2
291983,6880202,2
322088,6867073,2
334304,6834519,2
346932,6864900,2
337137,6819443,2
344143,6817861,2
350170,6895703,2
377173,6879432,2
377553,6879212,2
374527,6897022,2
379855,6905460,2
492929,6707204,1
488435,6736432,1
491594,6729088,1
492522,6728793,1
494456,6713206,1
478916,6746141,1
486158,6743796,1
487414,6764883,1
488585,6782734,1
490801,6770051,1
491401,6734838,1
509745,6718030,1
552075,6768497,1
503954,6802995,1
563333,6767740,1
563008,6765107,1
561196,6751653,1
557090,6741943,1
549246,6726934,1
545907,6720028,1
565544,6768318,1
570722,6748595,1
437304,6813645,1
505566,6815775,1
503877,6834623,1
501756,6835215,1
546765,6861636,1
502437,6905217,2
545507,6909231,0
533162,6899763,2
531661,6875054,1
531089,6876517,1
566577,6908098,0
602698,6861855,1
600072,6885471,0
614989,6924228,0
599071,6951168,0
670885,6900707,0
675250,6913296,0
666146,6934082,0
665140,6936127,0
664778,6937103,0
674400,6926050,0
632269,6951147,0
604141,6972735,0
627686,6995769,0
628282,6996153,0
664542,6965278,0
544924,6929118,0
546629,6977312,0
545473,6970709,0
572196,6958001,0
480326,6968722,0
504799,6946639,0
466265,7004793,0
530203,6963334,0
452849,7057686,0
486017,7031933,0
480676,7058983,0
488383,7016766,0
563425,6983255,0
563777,6984655,0
573220,6976484,0
562125,6993787,0
555187,7007239,0
606022,6955140,0
599539,6966022,0
550197,7014823,0
541767,7022411,0
538432,7025095,0
526424,7025036,0
536888,7025755,0
537821,7025824,0
539610,7031787,0
486580,7068439,0
479394,7060457,0
429202,6876583,2
448751,6851004,2
480209,6872890,2
378964,6908447,2
416370,6929479,2
426208,6933626,2
426130,6917852,2
436530,6904498,2
437150,6905044,2
437212,6905138,2
437358,6905340,2
437684,6905796,2
444186,6923383,2
442405,6905035,2
441957,6907868,2
441087,6911470,2
