X,Y,prediction
402526,6717678,0
403753,6718974,0
404015,6719242,0
404408,6719833,0
404551,6720017,0
407490,6724602,0
407626,6724772,0
408656,6726227,0
408660,6726270,0
409944,6727333,0
409976,6727383,0
410941,6728020,0
411226,6728288,0
412159,6729271,0
412628,6729952,0
412874,6730406,0
414235,6732079,0
416413,6737563,0
416811,6738324,0
417057,6738848,0
417340,6739413,0
417429,6739517,0
417602,6739898,0
417601,6739973,0
418004,6741128,0
418059,6741178,0
418085,6741281,0
418986,6742699,0
419014,6742759,0
419704,6744224,0
419920,6744361,0
419957,6744385,0
420103,6744508,0
420262,6744593,0
421144,6746413,0
421672,6747519,0
422302,6748622,0
422620,6749363,0
422614,6749421,0
422739,6749652,0
423226,6750573,0
425833,6755441,0
426598,6756554,0
426809,6756707,0
427307,6756910,0
427592,6757015,0
427732,6757075,0
429760,6759181,0
430083,6759587,0
430106,6759614,0
431056,6760534,0
431267,6760920,0
431313,6761126,0
436593,6765251,0
436663,6765403,0
438819,6770230,0
439619,6771142,0
440280,6772441,0
440428,6773285,0
440697,6773925,0
440916,6774201,0
440954,6774245,0
441048,6774319,0
441160,6774461,0
441308,6774673,0
441617,6775279,0
442009,6775928,0
442675,6777010,0
444550,6779728,0
446144,6782617,0
446815,6787152,0
447165,6787620,0
447847,6788346,0
448154,6788672,0
448545,6789175,0
448637,6789373,0
449106,6790646,0
450067,6794241,0
450410,6795695,0
450271,6795986,0
449298,6797087,0
449254,6797130,0
449087,6797325,0
448764,6798551,0
448758,6798609,0
448633,6799979,0
448641,6800259,0
448789,6803012,0
449298,6804790,0
449353,6806253,0
449360,6806336,0
449263,6807063,0
449005,6808172,0
448876,6808745,0
448178,6809905,0
446837,6811697,0
446774,6811786,0
446705,6811883,0
445684,6815916,0
445695,6816390,0
446474,6820455,0
447089,6821728,0
447114,6821832,0
447159,6822124,0
447237,6822967,0
447175,6825580,0
447153,6825987,0
447141,6826146,0
447123,6826453,0
447116,6826525,0
447179,6827053,0
447417,6830817,0
448373,6834798,0
448449,6834948,0
448449,6834948,0
449765,6838654,0
450224,6840238,0
450128,6840831,0
450128,6840836,0
450215,6841474,0
450878,6842776,0
452836,6846770,0
452554,6848995,0
452417,6849571,0
452282,6850897,0
452538,6857056,0
453490,6863020,0
453590,6864236,0
453576,6866242,0
452068,6870600,0
450361,6875086,0
450152,6877216,0
450424,6880271,0
450122,6881818,0
449895,6882460,0
449803,6882712,0
449620,6883162,0
447009,6885871,0
446511,6886832,0
442903,6890115,0
442851,6893203,0
442999,6895223,0
442329,6897061,0
442397,6898837,0
442848,6900062,0
442848,6900254,0
442608,6900849,0
441556,6902060,0
441520,6902083,0
441450,6902138,0
441279,6901902,0
441174,6901846,0
441073,6901735,0
438883,6901412,0
